wl,n,k,e
1.03E-05,9.99E-01,8.24E-12,9.98E-01
1.24E-05,1.00E+00,9.88E-12,1.00E+00
1.55E-05,1.00E+00,2.47E-11,1.00E+00
2.07E-05,1.00E+00,8.09E-11,1.00E+00
2.48E-05,1.00E+00,1.50E-10,1.00E+00
3.10E-05,1.00E+00,3.77E-10,1.00E+00
4.13E-05,1.00E+00,1.06E-09,1.00E+00
6.20E-05,1.00E+00,4.68E-09,1.00E+00
8.27E-05,1.00E+00,1.46E-08,1.00E+00
1.13E-04,1.00E+00,5.14E-08,1.00E+00
1.38E-04,1.00E+00,1.12E-07,1.00E+00
1.77E-04,1.00E+00,2.97E-07,1.01E+00
2.48E-04,1.00E+00,1.05E-06,1.00E+00
4.13E-04,1.00E+00,7.51E-06,1.00E+00
6.20E-04,1.00E+00,3.24E-05,1.00E+00
7.29E-04,1.00E+00,6.13E-05,1.00E+00
7.51E-04,1.00E+00,4.62E-05,1.00E+00
7.75E-04,1.00E+00,2.32E-05,1.00E+00
8.00E-04,1.00E+00,6.43E-06,1.00E+00
8.27E-04,1.00E+00,7.14E-06,1.00E+00
1.24E-03,1.00E+00,3.10E-05,1.00E+00
1.55E-03,1.00E+00,7.52E-05,1.00E+00
2.07E-03,9.99E-01,2.27E-04,9.98E-01
2.48E-03,9.99E-01,4.66E-04,9.98E-01
3.10E-03,9.98E-01,1.01E-03,9.96E-01
3.54E-03,9.96E-01,1.54E-03,9.92E-01
4.13E-03,9.96E-01,2.57E-03,9.92E-01
4.43E-03,9.96E-01,3.31E-03,9.92E-01
4.77E-03,9.92E-01,4.26E-03,9.84E-01
5.17E-03,9.93E-01,5.46E-03,9.86E-01
5.64E-03,9.93E-01,6.96E-03,9.86E-01
6.20E-03,9.91E-01,8.76E-03,9.82E-01
6.53E-03,9.89E-01,9.87E-03,9.78E-01
6.89E-03,9.89E-01,1.11E-02,9.78E-01
7.29E-03,9.88E-01,1.37E-02,9.76E-01
7.75E-03,9.88E-01,1.60E-02,9.76E-01
8.27E-03,9.89E-01,1.73E-02,9.78E-01
8.55E-03,9.88E-01,1.81E-02,9.76E-01
8.86E-03,9.88E-01,1.91E-02,9.76E-01
8.98E-03,9.88E-01,1.97E-02,9.76E-01
9.12E-03,9.87E-01,2.04E-02,9.74E-01
9.25E-03,9.87E-01,2.13E-02,9.74E-01
9.39E-03,9.86E-01,2.26E-02,9.72E-01
9.54E-03,9.86E-01,2.44E-02,9.72E-01
9.69E-03,9.87E-01,2.61E-02,9.73E-01
9.84E-03,9.88E-01,2.77E-02,9.75E-01
1.00E-02,9.89E-01,2.88E-02,9.77E-01
1.02E-02,9.91E-01,2.92E-02,9.81E-01
1.03E-02,9.92E-01,2.94E-02,9.83E-01
1.04E-02,9.92E-01,2.97E-02,9.83E-01
1.05E-02,9.92E-01,3.00E-02,9.83E-01
1.06E-02,9.93E-01,3.03E-02,9.85E-01
1.07E-02,9.93E-01,3.01E-02,9.85E-01
1.08E-02,9.94E-01,3.04E-02,9.87E-01
1.09E-02,9.94E-01,3.06E-02,9.87E-01
1.10E-02,9.95E-01,3.07E-02,9.89E-01
1.11E-02,9.95E-01,3.09E-02,9.89E-01
1.12E-02,9.95E-01,3.09E-02,9.89E-01
1.13E-02,9.96E-01,3.07E-02,9.91E-01
1.14E-02,9.97E-01,3.05E-02,9.93E-01
1.15E-02,9.97E-01,2.99E-02,9.93E-01
1.16E-02,9.97E-01,2.93E-02,9.93E-01
1.17E-02,9.96E-01,2.86E-02,9.91E-01
1.18E-02,9.96E-01,2.81E-02,9.91E-01
1.19E-02,9.94E-01,2.81E-02,9.87E-01
1.20E-02,9.92E-01,2.86E-02,9.83E-01
1.22E-02,9.92E-01,2.99E-02,9.83E-01
1.23E-02,9.89E-01,3.24E-02,9.77E-01
1.24E-02,9.89E-01,3.63E-02,9.77E-01
1.25E-02,9.91E-01,3.96E-02,9.81E-01
1.27E-02,9.94E-01,4.27E-02,9.86E-01
1.28E-02,9.98E-01,4.42E-02,9.94E-01
1.29E-02,1.00E+00,4.42E-02,1.00E+00
1.31E-02,1.01E+00,4.39E-02,1.01E+00
1.32E-02,1.01E+00,4.26E-02,1.01E+00
1.33E-02,1.01E+00,4.11E-02,1.02E+00
1.35E-02,1.01E+00,3.98E-02,1.02E+00
1.36E-02,1.01E+00,3.86E-02,1.02E+00
1.38E-02,1.01E+00,3.66E-02,1.02E+00
1.39E-02,1.01E+00,3.51E-02,1.03E+00
1.41E-02,1.01E+00,3.35E-02,1.03E+00
1.43E-02,1.01E+00,3.21E-02,1.03E+00
1.44E-02,1.01E+00,3.15E-02,1.03E+00
1.46E-02,1.01E+00,3.12E-02,1.03E+00
1.48E-02,1.02E+00,3.06E-02,1.03E+00
1.49E-02,1.02E+00,2.89E-02,1.03E+00
1.51E-02,1.02E+00,2.69E-02,1.03E+00
1.53E-02,1.02E+00,2.50E-02,1.03E+00
1.55E-02,1.02E+00,2.43E-02,1.03E+00
1.57E-02,1.02E+00,2.38E-02,1.03E+00
1.59E-02,1.01E+00,2.38E-02,1.03E+00
1.61E-02,1.02E+00,2.45E-02,1.03E+00
1.63E-02,1.02E+00,2.40E-02,1.03E+00
1.65E-02,1.02E+00,2.40E-02,1.04E+00
1.68E-02,1.02E+00,2.36E-02,1.04E+00
1.69E-02,1.03E+00,2.40E-02,1.05E+00
1.69E-02,1.03E+00,2.38E-02,1.06E+00
1.70E-02,1.03E+00,1.96E-02,1.06E+00
1.70E-02,1.04E+00,1.74E-02,1.07E+00
1.71E-02,1.03E+00,6.06E-03,1.06E+00
1.71E-02,1.03E+00,4.79E-03,1.05E+00
1.72E-02,1.02E+00,4.61E-03,1.04E+00
1.75E-02,1.02E+00,4.50E-03,1.03E+00
1.77E-02,1.01E+00,4.45E-03,1.02E+00
1.80E-02,1.01E+00,4.40E-03,1.02E+00
1.85E-02,1.01E+00,4.33E-03,1.01E+00
1.91E-02,1.00E+00,4.27E-03,1.00E+00
2.07E-02,9.92E-01,4.51E-03,9.84E-01
2.48E-02,9.74E-01,5.84E-03,9.49E-01
3.10E-02,9.44E-01,8.64E-03,8.91E-01
4.13E-02,8.82E-01,1.25E-02,7.78E-01
6.20E-02,6.73E-01,2.67E-02,4.52E-01
6.89E-02,5.64E-01,3.55E-02,3.17E-01
7.75E-02,3.46E-01,6.48E-02,1.16E-01
8.00E-02,2.52E-01,9.97E-02,5.36E-02
8.27E-02,1.52E-01,1.87E-01,-1.19E-02
8.55E-02,1.07E-01,3.01E-01,-7.92E-02
8.86E-02,8.40E-02,4.04E-01,-1.56E-01
9.54E-02,6.50E-02,5.93E-01,-3.47E-01
1.03E-01,6.10E-02,7.67E-01,-5.85E-01
1.13E-01,6.10E-02,9.46E-01,-8.91E-01
1.38E-01,7.30E-02,1.35E+00,-1.82E+00
1.77E-01,9.80E-02,1.93E+00,-3.72E+00
2.48E-01,1.83E-01,2.88E+00,-8.26E+00
3.10E-01,2.98E-01,3.70E+00,-1.36E+01
4.13E-01,5.48E-01,5.00E+00,-2.47E+01
4.96E-01,7.71E-01,5.91E+00,-3.43E+01
6.20E-01,1.29E+00,7.28E+00,-5.13E+01
6.89E-01,1.73E+00,7.96E+00,-6.04E+01
7.29E-01,2.08E+00,8.34E+00,-6.52E+01
7.75E-01,2.59E+00,8.55E+00,-6.64E+01
8.27E-01,2.83E+00,7.75E+00,-5.21E+01
8.86E-01,1.92E+00,7.75E+00,-5.64E+01
9.54E-01,1.25E+00,8.68E+00,-7.38E+01
1.03E+00,9.94E-01,9.73E+00,-9.37E+01
1.13E+00,9.26E-01,1.09E+01,-1.18E+02
1.24E+00,9.49E-01,1.22E+01,-1.48E+02
1.38E+00,1.02E+00,1.37E+01,-1.87E+02
1.77E+00,1.27E+00,1.78E+01,-3.15E+02
2.48E+00,1.95E+00,2.51E+01,-6.26E+02
3.10E+00,2.68E+00,3.13E+01,-9.72E+02
4.13E+00,4.31E+00,4.18E+01,-1.73E+03
6.20E+00,8.73E+00,6.20E+01,-3.77E+03
1.24E+01,3.24E+01,1.19E+02,-1.31E+04
2.48E+01,9.57E+01,1.85E+02,-2.51E+04
1.24E+02,3.23E+02,3.83E+02,-4.24E+04
2.48E+02,4.84E+02,5.28E+02,-4.45E+04
1.24E+03,1.12E+03,1.16E+03,-9.12E+04
,,,
wl,k,,
1.03E-05,,,
1.24E-05,,,
1.55E-05,,,
2.07E-05,,,
2.48E-05,,,
3.10E-05,,,
4.13E-05,,,
6.20E-05,,,
8.27E-05,,,
1.13E-04,,,
1.38E-04,,,
1.77E-04,,,
2.48E-04,,,
4.13E-04,,,
6.20E-04,,,
7.29E-04,,,
7.51E-04,,,
7.75E-04,,,
8.00E-04,,,
8.27E-04,,,
1.24E-03,,,
1.55E-03,,,
2.07E-03,,,
2.48E-03,,,
3.10E-03,,,
3.54E-03,,,
4.13E-03,,,
4.43E-03,,,
4.77E-03,,,
5.17E-03,,,
5.64E-03,,,
6.20E-03,,,
6.53E-03,,,
6.89E-03,,,
7.29E-03,,,
7.75E-03,,,
8.27E-03,,,
8.55E-03,,,
8.86E-03,,,
8.98E-03,,,
9.12E-03,,,
9.25E-03,,,
9.39E-03,,,
9.54E-03,,,
9.69E-03,,,
9.84E-03,,,
1.00E-02,,,
1.02E-02,,,
1.03E-02,,,
1.04E-02,,,
1.05E-02,,,
1.06E-02,,,
1.07E-02,,,
1.08E-02,,,
1.09E-02,,,
1.10E-02,,,
1.11E-02,,,
1.12E-02,,,
1.13E-02,,,
1.14E-02,,,
1.15E-02,,,
1.16E-02,,,
1.17E-02,,,
1.18E-02,,,
1.19E-02,,,
1.20E-02,,,
1.22E-02,,,
1.23E-02,,,
1.24E-02,,,
1.25E-02,,,
1.27E-02,,,
1.28E-02,,,
1.29E-02,,,
1.31E-02,,,
1.32E-02,,,
1.33E-02,,,
1.35E-02,,,
1.36E-02,,,
1.38E-02,,,
1.39E-02,,,
1.41E-02,,,
1.43E-02,,,
1.44E-02,,,
1.46E-02,,,
1.48E-02,,,
1.49E-02,,,
1.51E-02,,,
1.53E-02,,,
1.55E-02,,,
1.57E-02,,,
1.59E-02,,,
1.61E-02,,,
1.63E-02,,,
1.65E-02,,,
1.68E-02,,,
1.69E-02,,,
1.69E-02,,,
1.70E-02,,,
1.70E-02,,,
1.71E-02,,,
1.71E-02,,,
1.72E-02,,,
1.75E-02,,,
1.77E-02,,,
1.80E-02,,,
1.85E-02,,,
1.91E-02,,,
2.07E-02,,,
2.48E-02,,,
3.10E-02,,,
4.13E-02,,,
6.20E-02,,,
6.89E-02,,,
7.75E-02,,,
8.00E-02,,,
8.27E-02,,,
8.55E-02,,,
8.86E-02,,,
9.54E-02,,,
1.03E-01,,,
1.13E-01,,,
1.38E-01,,,
1.77E-01,,,
2.48E-01,,,
3.10E-01,,,
4.13E-01,,,
4.96E-01,,,
6.20E-01,,,
6.89E-01,,,
7.29E-01,,,
7.75E-01,,,
8.27E-01,,,
8.86E-01,,,
9.54E-01,,,
1.03E+00,,,
1.13E+00,,,
1.24E+00,,,
1.38E+00,,,
1.77E+00,,,
2.48E+00,,,
3.10E+00,,,
4.13E+00,,,
6.20E+00,,,
1.24E+01,,,
2.48E+01,,,
1.24E+02,,,
2.48E+02,,,
1.24E+03,,,
